arg0 [1,1,1025,2]
arg1 [1,1,64,160]
arg2 [1,1,64,160]
arg3 [1,1,64,160]
arg4 [1,1,64,160]
arg5 [1,1,64,160]
arg6 [1,1,64,160]
arg7 [1,1,64,160]
arg8 [1,1,64,160]
Initializer_onnx::MatMul_849 [1,4,64,16]
Circle.pseudo_const70_NHWC [4,2]
/input/conv/Conv/pads [1,1,1027,2]
Circle.pseudo_const65 [64,1,3,2]
Initializer_onnx::Conv_669 [64]
/input/conv/Conv;/input/act/Relu [1,1,1025,64]
Circle.pseudo_const64 [64,1,1,64]
Circle.pseudo_const67 [64]
/key_proj/Conv [1,1,1025,64]
Circle.pseudo_const68 [4]
/key_proj/Conv/post_tr [1,64,1,1025]
Circle.pseudo_const3 [4]
/Reshape [1,4,16,1025]
/MatMul [1,4,64,1025]
Initializer_onnx::Add_851_NHWC_r_transposed [1,4,64,1025]
/Add [1,4,64,1025]
/Softmax [1,4,64,1025]
Circle.pseudo_const63 [64,1,1,64]
/value_proj/Conv [1,1,1025,64]
/value_proj/Conv/post_tr [1,64,1,1025]
/Reshape_1 [1,4,16,1025]
Circle.pseudo_const66 [4]
/Transpose [1,4,1025,16]
/MatMul_1 [1,4,64,16]
/Transpose_1 [1,4,16,64]
Circle.pseudo_const2 [4]
/Reshape_2 [1,64,1,64]
Circle.pseudo_const69 [4]
/aggregate/conv/Conv/pre_tr [1,1,64,64]
Circle.pseudo_const62 [64,1,1,64]
Initializer_onnx::Conv_672 [64]
/aggregate/conv/Conv [1,1,64,64]
Circle.pseudo_const61 [128,1,1,64]
Initializer_onnx::Conv_675 [128]
/ffn/ffn.0/conv/Conv;/ffn/ffn.0/act/Relu [1,1,64,128]
Circle.pseudo_const60 [64,1,1,128]
Initializer_onnx::Conv_678 [64]
/ffn/ffn.1/conv/Conv [1,1,64,64]
/Add_1 [1,1,64,64]
/output/conv/Conv/pads [1,1,66,64]
Circle.pseudo_const59 [160,1,3,64]
Initializer_onnx::Conv_681 [160]
/output/conv/Conv;/output/act/Relu [1,1,64,160]
/freq_mix/freq_mix.0/conv/Conv/pads [1,1,66,160]
Circle.pseudo_const58 [160,1,3,160]
Initializer_onnx::Conv_684 [160]
/freq_mix/freq_mix.0/conv/Conv;/freq_mix/freq_mix.0/act/Relu [1,1,64,160]
Circle.pseudo_const57 [160,1,1,160]
Initializer_onnx::Conv_687 [160]
/freq_mix/freq_mix.1/conv/Conv [1,1,64,160]
/Add_2 [1,1,64,160]
/Concat [1,2,64,160]
Circle.pseudo_const56 [160,2,1,160]
Initializer_onnx::Conv_690 [160]
/conv/Conv;/act/Relu [1,1,64,160]
Circle.pseudo_const55 [160,1,1,160]
Initializer_onnx::Conv_693 [160]
/time_proj/conv/Conv [1,1,64,160]
/Add_3 [1,1,64,160]
Circle.pseudo_const54 [640,1,1,160]
Initializer_onnx::Conv_696 [640]
/ffn/ffn.0/conv_1/Conv;/ffn/ffn.0/act_1/Relu [1,1,64,640]
Circle.pseudo_const53 [160,1,1,640]
Initializer_onnx::Conv_699 [160]
/ffn/ffn.1/conv_1/Conv [1,1,64,160]
/Add_4 [1,1,64,160]
/freq_mix/freq_mix.0/conv_1/Conv/pads [1,1,66,160]
Circle.pseudo_const52 [160,1,3,160]
Initializer_onnx::Conv_702 [160]
/freq_mix/freq_mix.0/conv_1/Conv;/freq_mix/freq_mix.0/act_1/Relu [1,1,64,160]
Circle.pseudo_const51 [160,1,1,160]
Initializer_onnx::Conv_705 [160]
/freq_mix/freq_mix.1/conv_1/Conv [1,1,64,160]
/Add_5 [1,1,64,160]
/Concat_1 [1,2,64,160]
Circle.pseudo_const50 [160,2,1,160]
Initializer_onnx::Conv_708 [160]
/conv_1/Conv;/act_1/Relu [1,1,64,160]
Circle.pseudo_const49 [160,1,1,160]
Initializer_onnx::Conv_711 [160]
/time_proj/conv_1/Conv [1,1,64,160]
/Add_6 [1,1,64,160]
Circle.pseudo_const48 [640,1,1,160]
Initializer_onnx::Conv_714 [640]
/ffn/ffn.0/conv_2/Conv;/ffn/ffn.0/act_2/Relu [1,1,64,640]
Circle.pseudo_const47 [160,1,1,640]
Initializer_onnx::Conv_717 [160]
/ffn/ffn.1/conv_2/Conv [1,1,64,160]
/Add_7 [1,1,64,160]
/freq_mix/freq_mix.0/conv_2/Conv/pads [1,1,66,160]
Circle.pseudo_const46 [160,1,3,160]
Initializer_onnx::Conv_720 [160]
/freq_mix/freq_mix.0/conv_2/Conv;/freq_mix/freq_mix.0/act_2/Relu [1,1,64,160]
Circle.pseudo_const45 [160,1,1,160]
Initializer_onnx::Conv_723 [160]
/freq_mix/freq_mix.1/conv_2/Conv [1,1,64,160]
/Add_8 [1,1,64,160]
/Concat_2 [1,2,64,160]
Circle.pseudo_const44 [160,2,1,160]
Initializer_onnx::Conv_726 [160]
/conv_2/Conv;/act_2/Relu [1,1,64,160]
Circle.pseudo_const43 [160,1,1,160]
Initializer_onnx::Conv_729 [160]
/time_proj/conv_2/Conv [1,1,64,160]
/Add_9 [1,1,64,160]
Circle.pseudo_const42 [640,1,1,160]
Initializer_onnx::Conv_732 [640]
/ffn/ffn.0/conv_3/Conv;/ffn/ffn.0/act_3/Relu [1,1,64,640]
Circle.pseudo_const41 [160,1,1,640]
Initializer_onnx::Conv_735 [160]
/ffn/ffn.1/conv_3/Conv [1,1,64,160]
/Add_10 [1,1,64,160]
/freq_mix/freq_mix.0/conv_3/Conv/pads [1,1,66,160]
Circle.pseudo_const40 [160,1,3,160]
Initializer_onnx::Conv_738 [160]
/freq_mix/freq_mix.0/conv_3/Conv;/freq_mix/freq_mix.0/act_3/Relu [1,1,64,160]
Circle.pseudo_const39 [160,1,1,160]
Initializer_onnx::Conv_741 [160]
/freq_mix/freq_mix.1/conv_3/Conv [1,1,64,160]
/Add_11 [1,1,64,160]
/Concat_3 [1,2,64,160]
Circle.pseudo_const38 [160,2,1,160]
Initializer_onnx::Conv_744 [160]
/conv_3/Conv;/act_3/Relu [1,1,64,160]
Circle.pseudo_const37 [160,1,1,160]
Initializer_onnx::Conv_747 [160]
/time_proj/conv_3/Conv [1,1,64,160]
/Add_12 [1,1,64,160]
Circle.pseudo_const36 [640,1,1,160]
Initializer_onnx::Conv_750 [640]
/ffn/ffn.0/conv_4/Conv;/ffn/ffn.0/act_4/Relu [1,1,64,640]
Circle.pseudo_const35 [160,1,1,640]
Initializer_onnx::Conv_753 [160]
