rank,score,name,op,depth,rough_ops,latency_risk,boundary_risk,qerror,eligible,output_shape,producers,consumers,reasons
1,93.186,/output/Conv,CONV_2D,116,110700,23.525,10.500,0,1,1x1x1025x6,128,,quality-sensitive CONV_2D; graph output path; name hint: out; late-stage node
2,90.500,/Softmax_1,SOFTMAX,106,147600,15.910,13.000,0,1,1x4x1025x36,118,120,quality-sensitive SOFTMAX; name hint: softmax; late-stage node
3,83.571,/MatMul_2,BATCH_MATMUL,104,1180800,26.689,5.000,0,1,1x4x1025x36,116,118,quality-sensitive BATCH_MATMUL; late-stage node
4,83.571,/MatMul_3,BATCH_MATMUL,108,1180800,26.689,5.000,0,1,1x4x8x1025,113;120,122,quality-sensitive BATCH_MATMUL; late-stage node
5,80.500,/Softmax,SOFTMAX,8,147600,15.910,13.000,0,1,1x4x36x1025,9,11,quality-sensitive SOFTMAX; name hint: softmax
6,73.571,/MatMul,BATCH_MATMUL,6,1180800,26.689,5.000,0,1,1x4x36x1025,7,9,quality-sensitive BATCH_MATMUL
7,73.571,/MatMul_1,BATCH_MATMUL,10,1180800,26.689,5.000,0,1,1x4x8x36,4;11,13,quality-sensitive BATCH_MATMUL
8,67.119,/value_proj_1/Conv,CONV_2D,101,36864,22.055,13.000,0,1,1x1x36x32,110,112,quality-sensitive CONV_2D; name hint: value; late-stage node
9,67.119,/key_proj_1/Conv,CONV_2D,101,36864,22.055,13.000,0,1,1x1x36x32,110,115,quality-sensitive CONV_2D; name hint: key; late-stage node
10,65.081,/output/conv_6/Conv,CONV_2D,97,589824,25.761,13.000,0,1,1x1x36x128,106,108,quality-sensitive CONV_2D; name hint: out; late-stage node
11,64.613,/value/conv_3/Conv,CONV_2D,93,1115136,26.612,13.000,0,1,1x1x36x176,101,106,quality-sensitive CONV_2D; name hint: value; late-stage node
12,55.312,/input/conv_1/Conv,CONV_2D,100,110592,23.524,13.000,0,1,1x1x36x32,109,111;114,quality-sensitive CONV_2D; late-stage node
13,55.081,/freq_path/pre_ffn/output/conv/Conv,CONV_2D,25,589824,25.761,13.000,0,1,1x1x36x128,27,29,quality-sensitive CONV_2D; name hint: out
14,55.081,/freq_path/mixer/output/conv/Conv,CONV_2D,29,589824,25.761,13.000,0,1,1x1x36x128,31,33,quality-sensitive CONV_2D; name hint: out
15,55.081,/freq_path/post_ffn/output/conv/Conv,CONV_2D,37,589824,25.761,13.000,0,1,1x1x36x128,40,42,quality-sensitive CONV_2D; name hint: out
16,55.081,/output/conv_1/Conv,CONV_2D,45,589824,25.761,13.000,0,1,1x1x36x128,49,51,quality-sensitive CONV_2D; name hint: out
17,55.081,/output/conv_2/Conv,CONV_2D,49,589824,25.761,13.000,0,1,1x1x36x128,53,55,quality-sensitive CONV_2D; name hint: out
18,55.081,/output/conv_3/Conv,CONV_2D,57,589824,25.761,13.000,0,1,1x1x36x128,62,64,quality-sensitive CONV_2D; name hint: out
19,55.081,/freq_path/pre_ffn/output/conv_1/Conv,CONV_2D,65,589824,25.761,13.000,0,1,1x1x36x128,71,73,quality-sensitive CONV_2D; name hint: out
20,55.081,/freq_path/mixer/output/conv_1/Conv,CONV_2D,69,589824,25.761,13.000,0,1,1x1x36x128,75,77,quality-sensitive CONV_2D; name hint: out
21,55.081,/freq_path/post_ffn/output/conv_1/Conv,CONV_2D,77,589824,25.761,13.000,0,1,1x1x36x128,84,86,quality-sensitive CONV_2D; name hint: out
22,55.081,/output/conv_4/Conv,CONV_2D,85,589824,25.761,13.000,0,1,1x1x36x128,93,95,quality-sensitive CONV_2D; name hint: out
23,55.081,/output/conv_5/Conv,CONV_2D,89,589824,25.761,13.000,0,1,1x1x36x128,97,99,quality-sensitive CONV_2D; name hint: out
24,54.677,/ffn/ffn.0/conv_1/Conv;/ffn/ffn.0/act_1/Relu,CONV_2D,112,262400,24.679,13.000,0,1,1x1x1025x16,124,126,quality-sensitive CONV_2D; late-stage node
25,54.658,/value_proj/Conv,CONV_2D,3,1049600,26.532,13.000,0,1,1x1x1025x32,1,3,quality-sensitive CONV_2D; name hint: value
26,54.658,/key_proj/Conv,CONV_2D,3,1049600,26.532,13.000,0,1,1x1x1025x32,1,6,quality-sensitive CONV_2D; name hint: key
27,54.613,/freq_path/pre_ffn/value/conv/Conv,CONV_2D,21,1115136,26.612,13.000,0,1,1x1x36x176,22,27,quality-sensitive CONV_2D; name hint: value
28,54.613,/freq_path/post_ffn/value/conv/Conv,CONV_2D,33,1115136,26.612,13.000,0,1,1x1x36x176,35,40,quality-sensitive CONV_2D; name hint: value
29,54.613,/value/conv/Conv,CONV_2D,41,1115136,26.612,13.000,0,1,1x1x36x176,44,49,quality-sensitive CONV_2D; name hint: value
30,54.613,/value/conv_1/Conv,CONV_2D,53,1115136,26.612,13.000,0,1,1x1x36x176,57,62,quality-sensitive CONV_2D; name hint: value
31,54.613,/freq_path/pre_ffn/value/conv_1/Conv,CONV_2D,61,1115136,26.612,13.000,0,1,1x1x36x176,66,71,quality-sensitive CONV_2D; name hint: value
32,54.613,/freq_path/post_ffn/value/conv_1/Conv,CONV_2D,73,1115136,26.612,13.000,0,1,1x1x36x176,79,84,quality-sensitive CONV_2D; name hint: value
33,54.613,/value/conv_2/Conv,CONV_2D,81,1115136,26.612,13.000,0,1,1x1x36x176,88,93,quality-sensitive CONV_2D; name hint: value
34,54.274,/output/conv/Conv,CONV_2D,18,1769472,27.230,13.000,0,1,1x1x36x128,19,21;29,quality-sensitive CONV_2D; name hint: out
35,53.658,/aggregate/conv_1/Conv,CONV_2D,111,1049600,26.532,13.000,0,1,1x1x1025x32,123,125;127,quality-sensitive CONV_2D; late-stage node
36,53.658,/ffn/ffn.1/conv_1/Conv,CONV_2D,113,1049600,26.532,13.000,0,1,1x1x1025x32,125,127,quality-sensitive CONV_2D; late-stage node
37,53.613,/gate/conv_3/Conv,CONV_2D,93,1115136,26.612,13.000,0,1,1x1x36x176,101,104;105,quality-sensitive CONV_2D; late-stage node
38,49.813,/Sigmoid_3,LOGISTIC,94,6336,11.703,13.000,0,1,1x1x36x176,103,105,quality-sensitive LOGISTIC; late-stage node
39,47.047,/freq_path/Add_2,ADD,38,4608,11.278,13.000,0,1,1x1x36x128,33;41,43;51,graph output path
40,47.047,/Add_2,ADD,46,4608,11.278,13.000,0,1,1x1x36x128,42;50,52;55,graph output path
41,47.047,/Add_3,ADD,50,4608,11.278,13.000,0,1,1x1x36x128,51;54,56;64,graph output path
42,47.047,/freq_path_1/Add_2,ADD,78,4608,11.278,13.000,0,1,1x1x36x128,77;85,87;95,graph output path
43,47.047,/Add_5,ADD,86,4608,11.278,13.000,0,1,1x1x36x128,86;94,96;99,graph output path
44,47.047,/Add_6,ADD,90,4608,11.278,13.000,0,1,1x1x36x128,95;98,100;108,graph output path
45,46.119,/aggregate/conv/Conv,CONV_2D,13,36864,22.055,13.000,0,1,1x1x36x32,14,16;18,quality-sensitive CONV_2D
46,46.119,/ffn/ffn.1/conv/Conv,CONV_2D,15,36864,22.055,13.000,0,1,1x1x36x32,16,18,quality-sensitive CONV_2D
47,45.100,/ffn/ffn.0/conv/Conv;/ffn/ffn.0/act/Relu,CONV_2D,14,147456,23.908,13.000,0,1,1x1x36x64,15,17,quality-sensitive CONV_2D
48,43.613,/freq_path/pre_ffn/gate/conv/Conv,CONV_2D,21,1115136,26.612,13.000,0,1,1x1x36x176,22,25;26,quality-sensitive CONV_2D
49,43.613,/freq_path/post_ffn/gate/conv/Conv,CONV_2D,33,1115136,26.612,13.000,0,1,1x1x36x176,35,38;39,quality-sensitive CONV_2D
50,43.613,/gate/conv/Conv,CONV_2D,41,1115136,26.612,13.000,0,1,1x1x36x176,44,47;48,quality-sensitive CONV_2D
51,43.613,/gate/conv_1/Conv,CONV_2D,53,1115136,26.612,13.000,0,1,1x1x36x176,57,60;61,quality-sensitive CONV_2D
52,43.613,/freq_path/pre_ffn/gate/conv_1/Conv,CONV_2D,61,1115136,26.612,13.000,0,1,1x1x36x176,66,69;70,quality-sensitive CONV_2D
53,43.613,/freq_path/post_ffn/gate/conv_1/Conv,CONV_2D,73,1115136,26.612,13.000,0,1,1x1x36x176,79,82;83,quality-sensitive CONV_2D
54,43.613,/gate/conv_2/Conv,CONV_2D,81,1115136,26.612,13.000,0,1,1x1x36x176,88,91;92,quality-sensitive CONV_2D
55,42.850,/input/conv/Conv,CONV_2D,2,3148800,28.000,13.000,0,1,1x1x1025x32,0,2;5,quality-sensitive CONV_2D
56,41.813,/Mul_6,MUL,95,6336,11.703,5.000,0,1,1x1x36x176,103;104,106,late-stage node
57,41.813,/Mul_7,MUL,96,6336,11.703,5.000,0,1,1x1x36x176,102;105,107,late-stage node
58,39.813,/freq_path/pre_ffn/Sigmoid,LOGISTIC,22,6336,11.703,13.000,0,1,1x1x36x176,24,26,quality-sensitive LOGISTIC
59,39.813,/freq_path/post_ffn/Sigmoid,LOGISTIC,34,6336,11.703,13.000,0,1,1x1x36x176,37,39,quality-sensitive LOGISTIC
60,39.813,/Sigmoid,LOGISTIC,42,6336,11.703,13.000,0,1,1x1x36x176,46,48,quality-sensitive LOGISTIC
61,39.813,/Sigmoid_1,LOGISTIC,54,6336,11.703,13.000,0,1,1x1x36x176,59,61,quality-sensitive LOGISTIC
62,39.813,/freq_path/pre_ffn_1/Sigmoid,LOGISTIC,62,6336,11.703,13.000,0,1,1x1x36x176,68,70,quality-sensitive LOGISTIC
63,39.813,/freq_path/post_ffn_1/Sigmoid,LOGISTIC,74,6336,11.703,13.000,0,1,1x1x36x176,81,83,quality-sensitive LOGISTIC
64,39.813,/Sigmoid_2,LOGISTIC,82,6336,11.703,13.000,0,1,1x1x36x176,90,92,quality-sensitive LOGISTIC
65,39.138,/conv/Conv,DEPTHWISE_CONV_2D,40,9216,20.204,13.000,0,1,1x1x36x128,43,45;46,quality-sensitive DEPTHWISE_CONV_2D
66,39.138,/conv_1/Conv,DEPTHWISE_CONV_2D,48,9216,20.204,13.000,0,1,1x1x36x128,52,54,quality-sensitive DEPTHWISE_CONV_2D
67,39.138,/conv_2/Conv,DEPTHWISE_CONV_2D,52,9216,20.204,13.000,0,1,1x1x36x128,56,58;59,quality-sensitive DEPTHWISE_CONV_2D
68,39.138,/conv_3/Conv,DEPTHWISE_CONV_2D,80,9216,20.204,13.000,0,1,1x1x36x128,87,89;90,quality-sensitive DEPTHWISE_CONV_2D
69,39.138,/conv_4/Conv,DEPTHWISE_CONV_2D,88,9216,20.204,13.000,0,1,1x1x36x128,96,98,quality-sensitive DEPTHWISE_CONV_2D
70,39.138,/conv_5/Conv,DEPTHWISE_CONV_2D,92,9216,20.204,13.000,0,1,1x1x36x128,100,102;103,quality-sensitive DEPTHWISE_CONV_2D
71,37.657,/freq_path/pre_ffn/axis_mix/conv/Conv,DEPTHWISE_CONV_2D,20,69120,22.896,13.000,0,1,1x1x36x128,21,23;24,quality-sensitive DEPTHWISE_CONV_2D
72,37.657,/freq_path/mixer/axis_mix/conv/Conv,DEPTHWISE_CONV_2D,28,69120,22.896,13.000,0,1,1x1x36x128,30,32,quality-sensitive DEPTHWISE_CONV_2D
73,37.657,/freq_path/post_ffn/axis_mix/conv/Conv,DEPTHWISE_CONV_2D,32,69120,22.896,13.000,0,1,1x1x36x128,34,36;37,quality-sensitive DEPTHWISE_CONV_2D
74,37.657,/freq_path/pre_ffn/axis_mix/conv_1/Conv,DEPTHWISE_CONV_2D,60,69120,22.896,13.000,0,1,1x1x36x128,65,67;68,quality-sensitive DEPTHWISE_CONV_2D
75,37.657,/freq_path/mixer/axis_mix/conv_1/Conv,DEPTHWISE_CONV_2D,68,69120,22.896,13.000,0,1,1x1x36x128,74,76,quality-sensitive DEPTHWISE_CONV_2D
76,37.657,/freq_path/post_ffn/axis_mix/conv_1/Conv,DEPTHWISE_CONV_2D,72,69120,22.896,13.000,0,1,1x1x36x128,78,80;81,quality-sensitive DEPTHWISE_CONV_2D
77,32.047,/Add_7,ADD,98,4608,11.278,13.000,0,1,1x1x36x128,99;107,109,late-stage node
78,31.813,/freq_path/pre_ffn/Mul,MUL,23,6336,11.703,5.000,0,1,1x1x36x176,24;25,27,low-priority fallback
79,31.813,/freq_path/pre_ffn/Mul_1,MUL,24,6336,11.703,5.000,0,1,1x1x36x176,23;26,28,low-priority fallback
80,31.813,/freq_path/post_ffn/Mul,MUL,35,6336,11.703,5.000,0,1,1x1x36x176,37;38,40,low-priority fallback
81,31.813,/freq_path/post_ffn/Mul_1,MUL,36,6336,11.703,5.000,0,1,1x1x36x176,36;39,41,low-priority fallback
82,31.813,/Mul,MUL,43,6336,11.703,5.000,0,1,1x1x36x176,46;47,49,low-priority fallback
83,31.813,/Mul_1,MUL,44,6336,11.703,5.000,0,1,1x1x36x176,45;48,50,low-priority fallback
84,31.813,/Mul_2,MUL,55,6336,11.703,5.000,0,1,1x1x36x176,59;60,62,low-priority fallback
