rank,score,name,op,depth,rough_ops,latency_risk,boundary_risk,qerror,eligible,output_shape,producers,consumers,reasons
1,94.952,/decoder/up/up.0/bn/BatchNormalization;/decoder/up/up.0/act/Relu/TransposeConv,TRANSPOSE_CONV,96,4734976,25.996,13.000,0,1,1x1x128x136,120,122,quality-sensitive TRANSPOSE_CONV; name hint: decoder; late-stage node; matched prefer-regex
2,94.756,/decoder/up/up.1/bn/BatchNormalization;/decoder/up/up.1/act/Relu/TransposeConv,TRANSPOSE_CONV,98,6422528,26.353,13.000,0,1,1x1x256x112,122,124,quality-sensitive TRANSPOSE_CONV; name hint: decoder; late-stage node; matched prefer-regex
3,94.620,/decoder/up/up.2/bn/BatchNormalization;/decoder/up/up.2/act/Relu/TransposeConv,TRANSPOSE_CONV,100,7929856,26.600,13.000,0,1,1x1x512x88,124,126,quality-sensitive TRANSPOSE_CONV; name hint: decoder; late-stage node; matched prefer-regex
4,94.322,/decoder/up/up.3/bn/BatchNormalization;/decoder/up/up.3/act/Relu/TransposeConv,TRANSPOSE_CONV,102,12595200,27.142,13.000,0,1,1x1x1025x64,126,128,quality-sensitive TRANSPOSE_CONV; name hint: decoder; late-stage node; matched prefer-regex
5,90.371,/decoder/output/Conv,CONV_2D,105,110700,21.599,13.000,0,1,1x1x1025x6,129,131,"quality-sensitive CONV_2D; name hint: out,decoder; late-stage node; matched prefer-regex"
6,74.635,/time_proj/conv_7/Conv,CONV_2D,91,1638400,24.754,13.000,0,1,1x1x64x160,115,117,quality-sensitive CONV_2D; late-stage node; matched prefer-regex
7,74.635,/ffn/ffn.1/conv_7/Conv,CONV_2D,94,1638400,24.754,13.000,0,1,1x1x64x160,118,120,quality-sensitive CONV_2D; late-stage node; matched prefer-regex
8,74.189,/conv_7/Conv;/act_7/Relu,CONV_2D,90,3276800,25.565,13.000,0,1,1x1x64x160,96,116,quality-sensitive CONV_2D; late-stage node; matched prefer-regex
9,72.850,/ffn/ffn.0/conv_7/Conv;/ffn/ffn.0/act_7/Relu,CONV_2D,93,26214400,28.000,13.000,0,1,1x1x64x640,117,119,quality-sensitive CONV_2D; late-stage node; matched prefer-regex
10,64.635,/freq_mix/freq_mix.1/conv/Conv,CONV_2D,10,1638400,24.754,13.000,0,1,1x1x64x160,9,11,quality-sensitive CONV_2D; matched prefer-regex
11,64.635,/time_proj/conv/Conv,CONV_2D,14,1638400,24.754,13.000,0,1,1x1x64x160,14,16,quality-sensitive CONV_2D; matched prefer-regex
12,64.635,/ffn/ffn.1/conv/Conv,CONV_2D,17,1638400,24.754,13.000,0,1,1x1x64x160,17,19,quality-sensitive CONV_2D; matched prefer-regex
13,64.635,/freq_mix/freq_mix.1/conv_1/Conv,CONV_2D,21,1638400,24.754,13.000,0,1,1x1x64x160,21,23,quality-sensitive CONV_2D; matched prefer-regex
14,64.635,/time_proj/conv_1/Conv,CONV_2D,25,1638400,24.754,13.000,0,1,1x1x64x160,26,28,quality-sensitive CONV_2D; matched prefer-regex
